date,open_price,highest_price,lowest_price,close_price,adjusted_close,volume,symbol
2023-02-17,170.22,173.18,169.7,172.88,172.88,24171260,META
2023-02-17,95.07,95.75,93.45,94.59,94.59,31095067,GOOG
2023-02-17,97.8,97.94,95.65,97.2,97.2,60029405,AMZN
2023-02-17,152.35,153.0,150.85,152.55,152.338137260575,59144118,AAPL
2023-02-17,259.39,260.09,256.0,258.06,257.502351595271,30000055,MSFT
2023-02-21,150.2,151.3,148.405,148.48,148.273789711244,58867230,AAPL
2023-02-21,174.31,178.17,171.88,172.08,172.08,34592582,META
2023-02-21,95.335,95.605,94.27,94.58,94.58,56580360,AMZN
2023-02-21,93.24,93.4149,92.0,92.05,92.05,28367198,GOOG
2023-02-21,254.48,255.49,251.59,252.67,252.123998983094,28397444,MSFT
2023-02-22,91.934,92.36,90.87,91.8,91.8,29891135,GOOG
2023-02-22,254.09,254.34,250.34,251.51,250.96650565654,22491056,MSFT
2023-02-22,95.1,97.01,94.8,95.79,95.79,59534094,AMZN
2023-02-22,148.87,149.95,147.16,148.91,148.703192523581,51011305,AAPL
2023-02-22,171.07,172.755,169.69,171.12,171.12,22433158,META
2023-02-23,92.13,92.13,90.01,91.07,91.07,32423720,GOOG
2023-02-23,150.09,150.34,147.24,149.4,149.192512007407,48394249,AAPL
2023-02-23,255.56,256.84,250.48,254.77,254.219461039786,29219095,MSFT
2023-02-23,96.12,96.43,93.67,95.82,95.82,48466994,AMZN
2023-02-23,172.0,173.69,169.38,172.04,172.04,20017779,META
2023-02-24,168.64,170.72,167.66,170.39,170.39,19791334,META
2023-02-24,249.96,251.0,248.1,249.22,248.681454175671,24990905,MSFT
2023-02-24,89.63,90.13,88.86,89.35,89.35,31295619,GOOG
2023-02-24,147.11,147.19,145.7202,146.71,146.50624790232,55469606,AAPL
2023-02-24,93.53,94.14,92.3186,93.5,93.5,57053812,AMZN
2023-02-27,171.875,173.12,169.06,169.54,169.54,19277002,META
2023-02-27,90.09,90.4499,89.61,90.1,90.1,22724262,GOOG
2023-02-27,147.71,149.17,147.45,147.92,147.714567444014,44998470,AAPL
2023-02-27,94.28,94.78,93.14,93.76,93.76,47470321,AMZN
2023-02-27,252.46,252.82,249.39,250.16,249.619422905809,21190042,MSFT
2023-02-28,147.05,149.08,146.83,147.41,147.205275736358,50546998,AAPL
2023-02-28,249.07,251.49,248.73,249.42,248.881021990594,22490950,MSFT
2023-02-28,171.9,177.55,171.87,174.94,174.94,46051117,META
2023-02-28,93.14,94.69,92.92,94.23,94.23,43959290,AMZN
2023-02-28,89.54,91.45,89.52,90.3,90.3,30546912,GOOG
2023-03-01,93.87,94.68,91.59,92.17,92.17,52299524,AMZN
2023-03-01,250.76,250.93,245.79,246.27,245.737828905555,27565259,MSFT
2023-03-01,146.83,147.2285,145.01,145.31,145.108192234246,55478991,AAPL
2023-03-01,174.59,177.85,173.05,173.42,173.42,30998380,META
2023-03-01,90.16,91.2,89.85,90.51,90.51,26323876,GOOG
2023-03-02,246.55,251.4,245.61,251.11,250.567370026694,24833646,MSFT
2023-03-02,91.41,92.23,90.39,92.13,92.13,55574820,AMZN
2023-03-02,89.86,92.48,89.77,92.31,92.31,23344562,GOOG
2023-03-02,172.38,175.01,171.43,174.53,174.53,17360708,META
2023-03-02,144.38,146.71,143.9,145.91,145.707358949135,52279761,AAPL
2023-03-03,92.74,94.11,92.66,94.02,94.02,30242538,GOOG
2023-03-03,178.92,186.62,177.05,185.25,185.25,45877692,META
2023-03-03,148.045,151.11,147.33,151.03,150.820248249523,70732297,AAPL
2023-03-03,92.74,94.94,92.66,94.9,94.9,55759609,AMZN
2023-03-03,252.19,255.62,251.39,255.29,254.738337358586,30760136,MSFT
2023-03-06,188.0,189.66,184.64,184.9,184.9,33209394,META
2023-03-06,94.36,96.3,94.3,95.58,95.58,28288206,GOOG
2023-03-06,153.785,156.3,153.46,153.83,153.616359585672,87558028,AAPL
2023-03-06,95.19,96.545,93.74,93.75,93.75,52112355,AMZN
2023-03-06,256.425,260.12,255.98,256.87,256.314923096479,24109849,MSFT
2023-03-07,153.7,154.0299,151.13,151.6,151.389456628667,56182028,AAPL
2023-03-07,95.42,96.09,93.8443,94.17,94.17,24101536,GOOG
2023-03-07,189.0,190.36,184.01,184.51,184.51,36701495,META
2023-03-07,256.3,257.69,253.39,254.15,253.600800813525,21473179,MSFT
2023-03-07,94.06,95.09,92.78,93.55,93.55,49100668,AMZN
2023-03-08,94.405,96.24,94.405,94.65,94.65,25395200,GOOG
2023-03-08,182.87,185.26,181.34,184.97,184.97,19432405,META
2023-03-08,152.81,153.47,151.83,152.87,152.657692841849,47204791,AAPL
2023-03-08,254.04,254.5417,250.81,253.7,253.151773229948,17340217,MSFT
2023-03-08,93.6,94.165,92.18,93.92,93.92,44899128,AMZN
2023-03-09,255.82,259.56,251.58,252.32,251.774755306979,26653387,MSFT
2023-03-09,93.68,96.21,92.18,92.25,92.25,56218705,AMZN
2023-03-09,94.49,95.92,92.355,92.66,92.66,24438890,GOOG
2023-03-09,153.559,154.535,150.225,150.59,150.380859325271,53833582,AAPL
2023-03-09,186.35,188.93,180.3,181.69,181.69,26582750,META
2023-03-10,181.01,184.77,178.8,179.51,179.51,25665032,META
2023-03-10,92.5,93.18,90.8,91.01,91.01,32850092,GOOG
2023-03-10,251.08,252.79,247.6,248.59,248.052815558663,28333930,MSFT
2023-03-10,150.21,150.94,147.6096,148.5,148.293761935073,68572400,AAPL
2023-03-10,92.67,93.57,90.245,90.73,90.73,69827490,AMZN
2023-03-13,90.565,93.08,89.94,91.66,91.66,31508570,GOOG
2023-03-13,89.97,94.02,88.12,92.43,92.43,72397053,AMZN
2023-03-13,177.96,183.78,174.82,180.9,180.9,24727969,META
2023-03-13,147.805,153.14,147.7,150.47,150.261025982293,84457122,AAPL
2023-03-13,247.4,257.91,245.73,253.92,253.371297826363,33339721,MSFT
2023-03-14,187.58,194.32,186.56,194.02,194.02,41642627,META
2023-03-14,151.28,153.4,150.1,152.59,152.378081708234,73695893,AAPL
2023-03-14,93.83,95.07,92.71,94.88,94.88,60912674,AMZN
2023-03-14,93.07,94.83,92.78,94.25,94.25,32303881,GOOG
2023-03-14,256.75,261.07,255.86,260.79,260.226452268972,33620293,MSFT
2023-03-15,259.98,266.48,259.21,265.44,264.866403965934,46028047,MSFT
2023-03-15,192.95,197.78,190.8351,197.75,197.75,42123552,META
2023-03-15,93.22,96.67,93.07,96.2,96.2,70731792,AMZN
2023-03-15,93.54,97.25,93.04,96.55,96.55,38367334,GOOG
2023-03-15,151.19,153.245,149.92,152.99,152.777526184827,77167866,AAPL
2023-03-16,96.57,101.97,95.87,101.07,101.07,54588200,GOOG
2023-03-16,95.75,100.99,95.61,100.04,100.04,84558934,AMZN
2023-03-16,265.205,276.56,263.28,276.2,275.603152408796,54832140,MSFT
2023-03-16,198.26,205.76,196.0886,204.93,204.93,50819659,META
2023-03-16,152.16,156.46,151.64,155.85,155.633554192466,76254419,AAPL
2023-03-17,200.56,201.9,195.4304,195.61,195.61,50141098,META
2023-03-17,100.84,103.49,100.75,102.46,102.46,76140310,GOOG
2023-03-17,99.79,100.66,97.455,98.95,98.95,87300242,AMZN
2023-03-17,278.26,283.33,276.3201,279.43,278.826172619804,69527371,MSFT
2023-03-17,156.08,156.74,154.28,155.0,154.784734679706,98944633,AAPL
2023-03-20,101.06,102.58,100.79,101.93,101.93,26033916,GOOG
2023-03-20,155.07,157.82,154.15,157.4,157.181401539263,73641415,AAPL
2023-03-20,276.98,277.48,269.85,272.23,271.641731282573,43466649,MSFT
2023-03-20,198.48,199.36,193.64,197.81,197.81,25186315,META
2023-03-20,98.41,98.48,95.7,97.71,97.71,62388911,AMZN
2023-03-21,274.88,275.0,269.5191,273.78,273.188381848227,34558704,MSFT
2023-03-21,157.32,159.4,156.54,159.28,159.058790579249,73938285,AAPL
2023-03-21,101.98,105.96,101.86,105.84,105.84,33122800,GOOG
2023-03-21,203.2,203.55,197.95,202.16,202.16,31826952,META
2023-03-21,98.14,100.845,98.0,100.61,100.61,58597275,AMZN
2023-03-22,105.14,107.51,104.21,104.22,104.22,32336877,GOOG
2023-03-22,159.3,162.14,157.81,157.83,157.6108043516,75701811,AAPL
2023-03-22,273.4,281.04,272.18,272.29,271.70160162705,34873330,MSFT
2023-03-22,202.5,207.37,199.67,199.81,199.81,28477759,META
2023-03-22,100.45,102.1,98.61,98.7,98.7,57475365,AMZN
2023-03-23,105.89,107.1009,105.41,106.26,106.26,31385817,GOOG
2023-03-23,158.83,161.5501,157.68,158.93,158.70927666223,67622060,AAPL
2023-03-23,202.84,207.88,202.15,204.28,204.28,27389669,META
2023-03-23,100.43,101.06,97.62,98.71,98.71,57559310,AMZN
2023-03-23,277.94,281.06,275.2,277.66,277.059997457735,36610879,MSFT
2023-03-24,158.86,160.34,157.85,160.25,160.027443434986,59256343,AAPL
2023-03-24,205.18,207.58,203.55,206.01,206.01,27733042,META
2023-03-24,98.065,98.3,96.4,98.13,98.13,56144801,AMZN
2023-03-24,277.24,280.63,275.28,280.57,279.963709164866,28199962,MSFT
