headline,timestamp,url,sentiment_score,sentiment,relevant_words
"Cramer's Lightning Round: Dominion Energy is ""a little too risky""",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/16/cramers-lightning-round-dominion-energy-is-a-little-too-risky.html,-0.19375,Neutral,"['Cramer', ""'s"", 'Lightning', 'Round', ':', 'Dominion', 'Energy', 'is', '``', 'a', 'little', 'too', 'risky', ""''""]"
Cramer explains how four different camps of buyers see Fed mixed messages,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/15/cramer-explains-how-four-camps-of-buyers-see-fed-mixed-messages.html,0.0,Neutral,"['Cramer', 'explains', 'how', 'four', 'different', 'camps', 'of', 'buyers', 'see', 'Fed', 'mixed', 'messages']"
"'The market is more rational than its been in a decade', says BofA's Savita Subramanian on her...",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/the-market-is-more-rational-than-its-been-in-a-decade-says-bofas-savita-subramanian-on-her-bullish-outlook.html,0.5,Positive,"[""'The"", 'market', 'is', 'more', 'rational', 'than', 'its', 'been', 'in', 'a', 'decade', ""'"", ',', 'says', 'BofA', ""'s"", 'Savita', 'Subramanian', 'on', 'her', '...']"
BofA’S Savita Subramanian delivers her bull case for stocks,2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/pro-bofaas-savita-subramanian-delivers-her-bull-case-for-stocks.html,0.0,Neutral,"['BofA', '’', 'S', 'Savita', 'Subramanian', 'delivers', 'her', 'bull', 'case', 'for', 'stocks']"
"Watch Friday's full episode of Fast Money — June 16, 2023",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/16/watch-fridays-full-episode-of-fast-money-june-16-2023.html,0.275,Positive,"['Watch', 'Friday', ""'s"", 'full', 'episode', 'of', 'Fast', 'Money', '—', 'June', '16', ',', '2023']"
"Final Trades: Tyler Technology, Pepsico, Toll Brothers, Micron",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/16/final-trades-tyler-technology-pepsico-toll-brothers-micron.html,0.0,Neutral,"['Final', 'Trades', ':', 'Tyler', 'Technology', ',', 'Pepsico', ',', 'Toll', 'Brothers', ',', 'Micron']"
Chart Master: If the market keeps going higher eventually small caps will come to life,2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/16/chart-master-if-the-market-keeps-going-higher-eventually-small-caps-will-come-to-life.html,0.0,Neutral,"['Chart', 'Master', ':', 'If', 'the', 'market', 'keeps', 'going', 'higher', 'eventually', 'small', 'caps', 'will', 'come', 'to', 'life']"
"‘Bubblicious’ used car prices are rising faster than bitcoin, market researcher Jim Bianco warns",2023-06-20 18:05:57.330004,https://www.cnbc.com/2021/12/26/bubblicious-used-car-prices-rising-faster-than-bitcoin-jim-bianco-warns-.html,0.0,Neutral,"['‘', 'Bubblicious', '’', 'used', 'car', 'prices', 'are', 'rising', 'faster', 'than', 'bitcoin', ',', 'market', 'researcher', 'Jim', 'Bianco', 'warns']"
Three out-of-the-box ways to trade the rise of electric vehicles in 2022,2023-06-20 18:05:57.330004,https://www.cnbc.com/2021/12/24/three-out-of-the-box-ways-to-trade-the-rise-of-electric-vehicles-in-2022.html,0.0,Neutral,"['Three', 'out-of-the-box', 'ways', 'to', 'trade', 'the', 'rise', 'of', 'electric', 'vehicles', 'in', '2022']"
Two stocks on the market’s ‘naughty list’ could be set for a 2022 comeback,2023-06-20 18:05:57.330004,https://www.cnbc.com/2021/12/24/stocks-on-markets-naughty-list-could-be-set-for-a-2022-comeback.html,-0.15000000000000002,Neutral,"['Two', 'stocks', 'on', 'the', 'market', '’', 's', '‘', 'naughty', 'list', '’', 'could', 'be', 'set', 'for', 'a', '2022', 'comeback']"
"The ultimate 2022 safety play could be in this unusual place, traders say",2023-06-20 18:05:57.330004,https://www.cnbc.com/2021/12/23/ultimate-2022-safety-play-could-be-in-this-unusual-place-traders-say.html,0.1,Neutral,"['The', 'ultimate', '2022', 'safety', 'play', 'could', 'be', 'in', 'this', 'unusual', 'place', ',', 'traders', 'say']"
"This sector is 2022's 'sneaky catch-up play,' trader says. Two stocks he'd buy",2023-06-20 18:05:57.330004,https://www.cnbc.com/2021/12/23/communications-stocks-netflix-roblox-catch-up-plays-for-2022-trader.html,0.0,Neutral,"['This', 'sector', 'is', '2022', ""'s"", ""'sneaky"", 'catch-up', 'play', ',', ""'"", 'trader', 'says', '.', 'Two', 'stocks', 'he', ""'d"", 'buy']"
Pre-markets,2023-06-20 18:05:57.330004,https://www.cnbc.com/pre-markets/,0.0,Neutral,['Pre-markets']
Cryptocurrencies,2023-06-20 18:05:57.330004,https://www.cnbc.com/cryptocurrency/,0.0,Neutral,['Cryptocurrencies']
DOW 30,2023-06-20 18:05:57.330004,https://www.cnbc.com/dow-30/,0.0,Neutral,"['DOW', '30']"
Dow 30: After-hours quotes,2023-06-20 18:05:57.330004,"https://www.cnbc.com/quotes/?symbol=aapl,axp,ba,cat,csco,cvx,dis,wba,gs,hd,ibm,intc,jnj,jpm,ko,mcd,mmm,mrk,msft,nke,pfe,pg,trv,unh,v,vz,wmt,xom,dow,rtx",0.0,Neutral,"['Dow', '30', ':', 'After-hours', 'quotes']"
Sector watch,2023-06-20 18:05:57.330004,https://www.cnbc.com/sectors/,0.0,Neutral,"['Sector', 'watch']"
"Apple's financial fundamental performance is not worth its valuation, says Short Hills' Steve Weiss",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/apples-financial-fundamental-performance-is-not-worth-its-valuation-says-short-hills-steve-weiss.html,-0.049999999999999996,Neutral,"['Apple', ""'s"", 'financial', 'fundamental', 'performance', 'is', 'not', 'worth', 'its', 'valuation', ',', 'says', 'Short', 'Hills', ""'"", 'Steve', 'Weiss']"
"Fundstrat's Tom Lee: We're not falling into a recession, we are slipping into an expansion",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/16/fundstrats-tom-lee-were-not-falling-into-a-recession-we-are-slipping-into-an-expansion.html,-0.1,Neutral,"['Fundstrat', ""'s"", 'Tom', 'Lee', ':', 'We', ""'re"", 'not', 'falling', 'into', 'a', 'recession', ',', 'we', 'are', 'slipping', 'into', 'an', 'expansion']"
"Market sentiment about interest rates is driving investors to equities, say Aureus' Karen Firestone",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/16/market-sentiment-about-interest-rates-is-driving-investors-to-equities-say-aureus-karen-firestone.html,0.0,Neutral,"['Market', 'sentiment', 'about', 'interest', 'rates', 'is', 'driving', 'investors', 'to', 'equities', ',', 'say', 'Aureus', ""'"", 'Karen', 'Firestone']"
"The A.I. flood has gone too far too fast, says Requisite Capital's Bryn Talkington",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/15/short-the-a-i-flood-has-gone-too-far-too-fast-says-requisites-bryn-talkington.html,0.15000000000000002,Neutral,"['The', 'A.I', '.', 'flood', 'has', 'gone', 'too', 'far', 'too', 'fast', ',', 'says', 'Requisite', 'Capital', ""'s"", 'Bryn', 'Talkington']"
"Chart of the day: Tesla, taking stock of its surge",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/15/chart-of-the-day-tesla-taking-stock-of-its-surge.html,0.0,Neutral,"['Chart', 'of', 'the', 'day', ':', 'Tesla', ',', 'taking', 'stock', 'of', 'its', 'surge']"
